,id_store_img_1,id_store_img_2,id_store_img_3,id_store,store_name,address_x,id,address_y,category,muslim_friendly,tel,working_time,day_closed,parking,attractions,active,image0,image1,image2,
118,142,143,144,119,발우공양,서울특별시 종로구 견지동 71,169083,서울특별시 종로구 견지동 71 템플스테이 통합정보센터 5층,한식,무슬림 프렌들리,02-733-2081,11:30-22:00(브레이크 타임 15:00-22:00),연중무휴,O,"덕수궁, 청계천, 인사동",1,https://media-cdn.tripadvisor.com/media/photo-s/10/bd/8c/88/caption.jpg,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F998484455C715BFE1B,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23451&fileTy=MEDIA&fileNo=1&thumbTy=L,"INSERT INTO store_image_temp VALUES ('142','119','https://media-cdn.tripadvisor.com/media/photo-s/10/bd/8c/88/caption.jpg','1'),('143','119','https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F998484455C715BFE1B','1'),('144','119','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23451&fileTy=MEDIA&fileNo=1&thumbTy=L','1');"
120,145,146,147,121,케르반레스토랑 이태원점,서울특별시 용산구 이태원동 127-3 영일빌딩,,,터키음식,할랄 공식 인증,02-792-4767,11:00-23:00,연중무휴,O,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/09/d3/70/15/kervan-turkish-restaurant.jpg,https://mblogthumb-phinf.pstatic.net/MjAyMDA1MjhfMjYy/MDAxNTkwNTk0Njk5NDYz.xgPOZl5KHEH1GdjBPTkm6vc1TUtp5LOlBwGhZCaSWHQg.xeOt0tdaMCvSYRyaA46K2MOZspZRQ2DjNxhH1HwGv2Eg.JPEG.flora820721/1590594696967.jpg?type=w800,https://i.imgur.com/aGNQb6B.jpg,"INSERT INTO store_image_temp VALUES ('145','121','https://media-cdn.tripadvisor.com/media/photo-s/09/d3/70/15/kervan-turkish-restaurant.jpg','1'),('146','121','https://mblogthumb-phinf.pstatic.net/MjAyMDA1MjhfMjYy/MDAxNTkwNTk0Njk5NDYz.xgPOZl5KHEH1GdjBPTkm6vc1TUtp5LOlBwGhZCaSWHQg.xeOt0tdaMCvSYRyaA46K2MOZspZRQ2DjNxhH1HwGv2Eg.JPEG.flora820721/1590594696967.jpg?type=w800','1'),('147','121','https://i.imgur.com/aGNQb6B.jpg','1');"
121,148,149,150,122,미스터케밥,서울특별시 용산구 이태원동 127-2,159619,서울특별시 용산구 이태원동 136-45,터키음식,할랄 공식 인증,070-7758-1997,24시간,연중무휴,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L,https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800,"INSERT INTO store_image_temp VALUES ('148','122','https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg','1'),('149','122','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('150','122','https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800','1');"
122,151,152,153,123,미스터케밥,서울특별시 용산구 이태원동 127-2,159620,서울시 용산구 이태원1동 127-2,터키음식,할랄 공식 인증,070-7758-1997,24시간,연중무휴,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L,https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800,"INSERT INTO store_image_temp VALUES ('151','123','https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg','1'),('152','123','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('153','123','https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800','1');"
124,154,155,156,125,미스터케밥,서울특별시 용산구 이태원동 127-2,159622,서울특별시 용산구 이태원동 136-45,터키음식,할랄 공식 인증,070-7758-1997,24시간,연중무휴,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L,https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800,"INSERT INTO store_image_temp VALUES ('154','125','https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/eb/8e/photo0jpg.jpg','1'),('155','125','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23040&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('156','125','https://mblogthumb-phinf.pstatic.net/MjAyMTAyMDdfMjcz/MDAxNjEyNjYzOTg2OTc4.bXhFFXyifP8iEswm0o1DoI1dahahnHBL5qBvpwe-4b8g.Ls30YpU_mghnGn_aGc4kPU7ItZaX74Yrwx25v3rXq6Qg.JPEG.xazig/20190212_173017.jpg?type=w800','1');"
125,157,158,159,126,케르반 익스프레스 GFC,서울특별시 강남구 역삼동 737 강남파이낸스센터,,,터키음식,무슬림 프렌들리,02-566-4767,11:00-22:00,연중무휴,O,"봉은사, 코엑스, 선정릉",1,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23032&fileTy=MEDIA&fileNo=1&thumbTy=L,https://img.siksinhot.com/place/1469635618562435.jpg?w=307&h=300&c=Y,https://i.ytimg.com/vi/Ih2Lp_wt8sU/mqdefault.jpg,"INSERT INTO store_image_temp VALUES ('157','126','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23032&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('158','126','https://img.siksinhot.com/place/1469635618562435.jpg?w=307&h=300&c=Y','1'),('159','126','https://i.ytimg.com/vi/Ih2Lp_wt8sU/mqdefault.jpg','1');"
126,160,161,162,127,케르반레스토랑 코엑스점,서울특별시 강남구 삼성동 159 코엑스,,,터키음식,할랄 공식 인증,02-556-4767,11:00-22:00,연중무휴,O,"봉은사, 코엑스, 선정릉",1,https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile6.uf.tistory.com%2Fimage%2F997B533D5B629D88089EDE,http://www.kervan.co.kr/wp-content/uploads/2018/12/k2_menu_halal_0-512x1024.jpg,http://www.kervan.co.kr/wp-content/uploads/2018/12/k2_menu_halal_2-569x1024.jpg,"INSERT INTO store_image_temp VALUES ('160','127','https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile6.uf.tistory.com%2Fimage%2F997B533D5B629D88089EDE','1'),('161','127','http://www.kervan.co.kr/wp-content/uploads/2018/12/k2_menu_halal_0-512x1024.jpg','1'),('162','127','http://www.kervan.co.kr/wp-content/uploads/2018/12/k2_menu_halal_2-569x1024.jpg','1');"
127,163,164,165,128,롯데호텔월드 룸서비스,서울특별시 송파구 잠실동 40-1 롯데월드,,,양식,무슬림 프렌들리,02-419-7000,24시간,연중무휴,O,"롯데월드, 올림픽공원",1,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F9905C44C5B67DF3521,https://post-phinf.pstatic.net/MjAyMDA0MTdfMjg0/MDAxNTg3MDg1ODk4MTIw.VYWm1MhC8RX3Dq4Iwpfip2gz2SoK-vOU9fMCWqEQ-8gg.PHJcQ9NSlisf7T9nRRDF7aqok-xiDL2bqwKuLxQLWmQg.JPEG/%ED%95%9C%EC%A4%84%EA%B0%80%EC%9D%B4%EB%93%9C.jpg?type=w1200,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/world/dining/restaurant/tohlim/170706-24-2000-din-world-hotel1.jpg.thumb.768.768.jpg,"INSERT INTO store_image_temp VALUES ('163','128','https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F9905C44C5B67DF3521','1'),('164','128','https://post-phinf.pstatic.net/MjAyMDA0MTdfMjg0/MDAxNTg3MDg1ODk4MTIw.VYWm1MhC8RX3Dq4Iwpfip2gz2SoK-vOU9fMCWqEQ-8gg.PHJcQ9NSlisf7T9nRRDF7aqok-xiDL2bqwKuLxQLWmQg.JPEG/%ED%95%9C%EC%A4%84%EA%B0%80%EC%9D%B4%EB%93%9C.jpg?type=w1200','1'),('165','128','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/world/dining/restaurant/tohlim/170706-24-2000-din-world-hotel1.jpg.thumb.768.768.jpg','1');"
128,166,167,168,129,일품당 프리미엄,서울특별시 종로구 내수동 1 세종클럽 3층,,,일식,무슬림 프렌들리,02-1899-4949,"10:30~22:00, 브레이크타임 15:00~17:00",연중무휴,O,"경복궁, 청와대 사랑채, 서촌마을",1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBM6BlmM93QmMg5Xe_MeM_toS_SyqjNJ7Ssd_PYINdVh0n8tQIplgJkU5kVeEbGvXgg50&usqp=CAU,https://img.siksinhot.com/story/1581490174421760.jpeg?w=307&h=300&c=Y,"https://mp-seoul-image-production-s3.mangoplate.com/1369383_1589005865122603.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","INSERT INTO store_image_temp VALUES ('166','129','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBM6BlmM93QmMg5Xe_MeM_toS_SyqjNJ7Ssd_PYINdVh0n8tQIplgJkU5kVeEbGvXgg50&usqp=CAU','1'),('167','129','https://img.siksinhot.com/story/1581490174421760.jpeg?w=307&h=300&c=Y','1'),('168','129','https://mp-seoul-image-production-s3.mangoplate.com/1369383_1589005865122603.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80','1');"
129,169,170,171,130,케르반 서울역점,서울특별시 중구 남대문로5가 526 대우재단빌딩 3층 1호,,,터키음식,무슬림 프렌들리,02-6366-1441,11:00-22:00,연중무휴,O,"서울로 7017, 남대문시장, 명동난타극장",1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzKf688n0i6iKhgHtkxr8intS_003R2hXdIWT7RLFbpys9ikhu2sSQWHHMJAmw35wUh5Q&usqp=CAU,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23029&fileTy=MEDIA&fileNo=1&thumbTy=L,https://blog.kakaocdn.net/dn/CYmZM/btqAxgBUnrb/MAMi6qwoJnofbqITBudug0/img.jpg,"INSERT INTO store_image_temp VALUES ('169','130','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzKf688n0i6iKhgHtkxr8intS_003R2hXdIWT7RLFbpys9ikhu2sSQWHHMJAmw35wUh5Q&usqp=CAU','1'),('170','130','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23029&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('171','130','https://blog.kakaocdn.net/dn/CYmZM/btqAxgBUnrb/MAMi6qwoJnofbqITBudug0/img.jpg','1');"
130,172,173,174,131,쉐라톤서울디큐브시티호텔 룸서비스,서울특별시 구로구 신도림동 692 디큐브시티,,,양식,무슬림 프렌들리,02-2211-2000,10:30-22:00,연중무휴,O,"문래창작촌 , 구로동 중국인거리, 마리오아울렛",1,https://mblogthumb-phinf.pstatic.net/MjAxODA4MTJfMTEw/MDAxNTM0MDgwNjk3MDYw.2MIKUNv49pSOLeDD5ixG1L-RwQfXg6_ROtdY7ss5E5gg.lBwEVwhtX1F9CXT3sPg5WrgEXWJd0OEx3LPcvWlHvwMg.JPEG.okkth00/20180812_144113.jpg?type=w2,https://mblogthumb-phinf.pstatic.net/MjAxOTA4MDhfNDEg/MDAxNTY1MjUxNzEwODI5.daOaFgS-aO5OtjrY3cbMnS0ORMq-EshTRq3EvAzk4vog.rs0HeIWBArBXguqaQJFU-bHsYibxcUzlnVA_txectFQg.JPEG.rannyco73/KakaoTalk_20190808_143754704.jpg?type=w800,https://mblogthumb-phinf.pstatic.net/MjAxODA4MTJfMTAw/MDAxNTM0MDgwNjk1Njk0.kK2r0Efwxo3yFBxCeYCSJX4NwtFJ1TJLJeOP7fw0GLog.np1gMaocuFxfr666M5GpFxmqQcRUUmXIn4dD2GZIOlAg.JPEG.okkth00/20180812_144046.jpg?type=w2,"INSERT INTO store_image_temp VALUES ('172','131','https://mblogthumb-phinf.pstatic.net/MjAxODA4MTJfMTEw/MDAxNTM0MDgwNjk3MDYw.2MIKUNv49pSOLeDD5ixG1L-RwQfXg6_ROtdY7ss5E5gg.lBwEVwhtX1F9CXT3sPg5WrgEXWJd0OEx3LPcvWlHvwMg.JPEG.okkth00/20180812_144113.jpg?type=w2','1'),('173','131','https://mblogthumb-phinf.pstatic.net/MjAxOTA4MDhfNDEg/MDAxNTY1MjUxNzEwODI5.daOaFgS-aO5OtjrY3cbMnS0ORMq-EshTRq3EvAzk4vog.rs0HeIWBArBXguqaQJFU-bHsYibxcUzlnVA_txectFQg.JPEG.rannyco73/KakaoTalk_20190808_143754704.jpg?type=w800','1'),('174','131','https://mblogthumb-phinf.pstatic.net/MjAxODA4MTJfMTAw/MDAxNTM0MDgwNjk1Njk0.kK2r0Efwxo3yFBxCeYCSJX4NwtFJ1TJLJeOP7fw0GLog.np1gMaocuFxfr666M5GpFxmqQcRUUmXIn4dD2GZIOlAg.JPEG.okkth00/20180812_144046.jpg?type=w2','1');"
131,175,176,177,132,파티나라하이비스,서울특별시 중구 의주로1가 32-2 바비엥-1 2층,,,한식,무슬림 자가 인증,02-577-3434,06:30-22:00,연중무휴,O,"판타스틱 공연, 덕수궁 돌담길, 서울역사박물관",1,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23035&fileTy=MEDIA&fileNo=1&thumbTy=L,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQUeSgz0ImcQQ1Wj0x7nxDETGv29RVWA51Iab3-hoU2_1fHubpM3UJULqrpKXdqcGiHRAhcWAYgGM&usqp=CAU,,"INSERT INTO store_image_temp VALUES ('175','132','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23035&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('176','132','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQUeSgz0ImcQQ1Wj0x7nxDETGv29RVWA51Iab3-hoU2_1fHubpM3UJULqrpKXdqcGiHRAhcWAYgGM&usqp=CAU','1'),('177','132','','1');"
134,178,179,180,135,별난오리,서울특별시 종로구 창신동 464-30 지상2층,178057,서울특별시 종로구 창신동 464-30,한식,포크프리,02-765-5292,11:00-23:00,연중무휴,O,"북촌한옥마을, 경복궁",1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5tw54grkvY_yPsienfUKBtQcY-dEWNppVz4Ue-MVpFpHuy8zYhaMEzVXBkOh_GT_zi3ZaCdWX3xM&usqp=CAU,https://media-cdn.tripadvisor.com/media/photo-s/17/82/8c/f6/dongdaemun-special-duck.jpg,https://media-cdn.tripadvisor.com/media/photo-s/17/83/b9/f1/half-of-stew-and-half.jpg,"INSERT INTO store_image_temp VALUES ('178','135','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5tw54grkvY_yPsienfUKBtQcY-dEWNppVz4Ue-MVpFpHuy8zYhaMEzVXBkOh_GT_zi3ZaCdWX3xM&usqp=CAU','1'),('179','135','https://media-cdn.tripadvisor.com/media/photo-s/17/82/8c/f6/dongdaemun-special-duck.jpg','1'),('180','135','https://media-cdn.tripadvisor.com/media/photo-s/17/83/b9/f1/half-of-stew-and-half.jpg','1');"
135,181,182,183,136,두바이,서울특별시 용산구 이태원동 127-2 2층 두바이레스토랑,,,아시아음식,무슬림 자가 인증,02-798-9277,"12:00-23:00(일-목요일), 12:00-01:00(금-토요일)",연중무휴,X,"전쟁기념관, 경리단길, 이태원 쇼핑거리",1,https://mblogthumb-phinf.pstatic.net/MjAyMTAxMDZfMTcx/MDAxNjA5OTEyOTUwMTU3.7TP-KJG6eU9srYCEOwC7D2m01n11X73JrLvva5kWsQQg.KkX4WrSgZ4ekwmqE3ii9kcJbHGxWs8MfZ4ITURjyv20g.JPEG.zzocoh/SE-06e78206-faf9-4eb1-8b46-d8aaf7fbfedf.jpg?type=w800,https://media-cdn.tripadvisor.com/media/photo-s/07/d3/f0/bb/caption.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFZadZfV7NPiY-qluDyW0EsSfUvZHs17WepjDgabc4IXJHCYc10QAE4Sh--08leCxuXOM&usqp=CAU,"INSERT INTO store_image_temp VALUES ('181','136','https://mblogthumb-phinf.pstatic.net/MjAyMTAxMDZfMTcx/MDAxNjA5OTEyOTUwMTU3.7TP-KJG6eU9srYCEOwC7D2m01n11X73JrLvva5kWsQQg.KkX4WrSgZ4ekwmqE3ii9kcJbHGxWs8MfZ4ITURjyv20g.JPEG.zzocoh/SE-06e78206-faf9-4eb1-8b46-d8aaf7fbfedf.jpg?type=w800','1'),('182','136','https://media-cdn.tripadvisor.com/media/photo-s/07/d3/f0/bb/caption.jpg','1'),('183','136','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFZadZfV7NPiY-qluDyW0EsSfUvZHs17WepjDgabc4IXJHCYc10QAE4Sh--08leCxuXOM&usqp=CAU','1');"
136,184,185,186,137,피스트,서울특별시 구로구 신도림동 692 디큐브시티 41층,439701,서울특별시 구로구 신도림동 692 41층,뷔페식,무슬림 프렌들리,02-2211-1710,"아침 뷔페 06:30-10:00(월-일요일), 점심 뷔페 12:00-14:30(월-금요일), 11:00-13:00, 13:30-15:30(토-일요일), 저녁 뷔페 18:00-21:",연중무휴,O,"문래창작촌 , 구로동 중국인거리, 마리오아울렛",1,https://media-cdn.tripadvisor.com/media/photo-s/11/aa/a1/ca/20171231-211241-largejpg.jpg,https://media-cdn.tripadvisor.com/media/photo-s/17/14/29/3b/caption.jpg,"https://mp-seoul-image-production-s3.mangoplate.com/1801874_1603456092621248.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","INSERT INTO store_image_temp VALUES ('184','137','https://media-cdn.tripadvisor.com/media/photo-s/11/aa/a1/ca/20171231-211241-largejpg.jpg','1'),('185','137','https://media-cdn.tripadvisor.com/media/photo-s/17/14/29/3b/caption.jpg','1'),('186','137','https://mp-seoul-image-production-s3.mangoplate.com/1801874_1603456092621248.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80','1');"
138,187,188,189,139,타지팰리스,서울특별시 용산구 이태원동 132-2 2층,,,인도음식,무슬림 자가 인증,02-790-5786,"11:00-22:00(일-목요일), 11:00-22:30(금-토요일)",연중무휴,O,"이태원 쇼핑거리, 리움 삼성미술관, 남산 케이블카",1,https://media-cdn.tripadvisor.com/media/photo-s/06/f1/8b/75/taj-palace.jpg,https://www.menupan.com/restaurant/restimg/004/zzmenuimg/r1073541_z.jpg,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=6614&fileTy=MEDIA&fileNo=1&thumbTy=L,"INSERT INTO store_image_temp VALUES ('187','139','https://media-cdn.tripadvisor.com/media/photo-s/06/f1/8b/75/taj-palace.jpg','1'),('188','139','https://www.menupan.com/restaurant/restimg/004/zzmenuimg/r1073541_z.jpg','1'),('189','139','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=6614&fileTy=MEDIA&fileNo=1&thumbTy=L','1');"
139,190,191,192,140,구르카 레스토랑,서울특별시 중구 명동2가 32-14 4층,,,인도음식,무슬림 프렌들리,02-775-8860,10:30-22:30,연중무휴,X,"명동, 청계천, 남대문시장",1,https://media-cdn.tripadvisor.com/media/photo-s/15/cc/9f/87/photo1jpg.jpg,https://mblogthumb-phinf.pstatic.net/MjAxODA3MjBfMTEw/MDAxNTMyMDcwNzY3NDgx.xDiuI8lm4PlkHkfQShgNr_Qma0CznNne2kX8k53paP8g.gGqxL3MwMxP9MgWKerzDp9UyDt4iETOWHkyKyYP-RFgg.JPEG.angelhaniel/image_6306141191532070115922.jpg?type=w800,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23448&fileTy=MEDIA&fileNo=1&thumbTy=L,"INSERT INTO store_image_temp VALUES ('190','140','https://media-cdn.tripadvisor.com/media/photo-s/15/cc/9f/87/photo1jpg.jpg','1'),('191','140','https://mblogthumb-phinf.pstatic.net/MjAxODA3MjBfMTEw/MDAxNTMyMDcwNzY3NDgx.xDiuI8lm4PlkHkfQShgNr_Qma0CznNne2kX8k53paP8g.gGqxL3MwMxP9MgWKerzDp9UyDt4iETOWHkyKyYP-RFgg.JPEG.angelhaniel/image_6306141191532070115922.jpg?type=w800','1'),('192','140','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23448&fileTy=MEDIA&fileNo=1&thumbTy=L','1');"
140,193,194,195,141,러빙헛스마일,서울특별시 강남구 개포동 1171 민경H동 102호,,,양식,무슬림 프렌들리,02-578-0512,11:30-21:00,"1, 3, 2, 4",O,"양재 시민의 숲, 양재동화훼공판장 , 헌인릉",1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG73_WvSdeE8apvYQTC5jCUuXZFdtZt1oHFWPRyoV45QjaIe_QPh0uHsj4bCI_rYWWldc&usqp=CAU,https://images.happycow.net/venues/1024/72/51/hcmp72515_435008.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbVd4BfiXeraHs6smEfzojWIoEMXgeHz0JnakoUcI5bQ9nA_9qFl4UtGHoE9tobgKfvXw&usqp=CAU,"INSERT INTO store_image_temp VALUES ('193','141','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG73_WvSdeE8apvYQTC5jCUuXZFdtZt1oHFWPRyoV45QjaIe_QPh0uHsj4bCI_rYWWldc&usqp=CAU','1'),('194','141','https://images.happycow.net/venues/1024/72/51/hcmp72515_435008.jpeg','1'),('195','141','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbVd4BfiXeraHs6smEfzojWIoEMXgeHz0JnakoUcI5bQ9nA_9qFl4UtGHoE9tobgKfvXw&usqp=CAU','1');"
141,196,197,198,142,그랜드 힐튼 서울 에이트리움 카페,서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔 지하 로비층,,,양식,무슬림 프렌들리,02-2287-8270,12:00-22:00,연중무휴,O,"안산자락길, 안산벚꽃동산, 상암 디지털미디어시티",1,https://t1.daumcdn.net/cfile/blog/995ECA355C20DAD629,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190628023423741_photo_46cf943bac84.jpg,https://post-phinf.pstatic.net/MjAxNzEyMjZfNTAg/MDAxNTE0MjU2NzI5MDY5.K-ytQjssKjsx4Zrhwf0cjcsdIQFYsg19_b6YqMuMK2kg.RoW9SoAdCYRmDm1ZuvEEbR3Zh7cCRH5tD3swMokNKqMg.JPEG/image_5132612101514256646903.jpg?type=w1200,"INSERT INTO store_image_temp VALUES ('196','142','https://t1.daumcdn.net/cfile/blog/995ECA355C20DAD629','1'),('197','142','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190628023423741_photo_46cf943bac84.jpg','1'),('198','142','https://post-phinf.pstatic.net/MjAxNzEyMjZfNTAg/MDAxNTE0MjU2NzI5MDY5.K-ytQjssKjsx4Zrhwf0cjcsdIQFYsg19_b6YqMuMK2kg.RoW9SoAdCYRmDm1ZuvEEbR3Zh7cCRH5tD3swMokNKqMg.JPEG/image_5132612101514256646903.jpg?type=w1200','1');"
142,199,200,201,143,그랜드 힐튼 서울 뷔페레스토랑,서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔 지하 로비층,,,뷔페식,무슬림 프렌들리,02-2287-8271,"조식 07:00-10:00(월-토요일), 07:00-10:30(일요일 및 공휴일), 중식 12:00-14:30(월-토요일), 12:00-15:00(일요일 및 공휴일), 석식 18:",연중무휴,O,"안산자락길, 안산벚꽃동산, 상암 디지털미디어시티",1,https://img.siksinhot.com/place/1455037306303040.jpg?w=307&h=300&c=Y,https://img.siksinhot.com/place/1455037306304041.jpg?w=307&h=300&c=Y,https://post-phinf.pstatic.net/MjAxODAzMDlfMzAg/MDAxNTIwNTgxODgxNTQx.OWxoWUQnZxodKFqvlfNo0YGioeoy5kCQzDGHJe_yKRog.vs_qKskHbZxnxnlcRed1yuq9_y8QJksZuL-E-MtZ3qog.PNG/2.png?type=w1200,"INSERT INTO store_image_temp VALUES ('199','143','https://img.siksinhot.com/place/1455037306303040.jpg?w=307&h=300&c=Y','1'),('200','143','https://img.siksinhot.com/place/1455037306304041.jpg?w=307&h=300&c=Y','1'),('201','143','https://post-phinf.pstatic.net/MjAxODAzMDlfMzAg/MDAxNTIwNTgxODgxNTQx.OWxoWUQnZxodKFqvlfNo0YGioeoy5kCQzDGHJe_yKRog.vs_qKskHbZxnxnlcRed1yuq9_y8QJksZuL-E-MtZ3qog.PNG/2.png?type=w1200','1');"
143,202,203,204,144,머노까머나 신촌점,서울특별시 서대문구 창천동 52-25 2층,,,인도음식,무슬림 프렌들리,02-338-4343,11:00~10:30,,X,"홍대거리, 이대, 신촌거리",1,https://media-cdn.tripadvisor.com/media/photo-s/0f/53/72/6b/indian.jpg,https://t1.daumcdn.net/cfile/tistory/992DED375B5D311D15,https://t1.daumcdn.net/cfile/tistory/998962345B5D31050E,"INSERT INTO store_image_temp VALUES ('202','144','https://media-cdn.tripadvisor.com/media/photo-s/0f/53/72/6b/indian.jpg','1'),('203','144','https://t1.daumcdn.net/cfile/tistory/992DED375B5D311D15','1'),('204','144','https://t1.daumcdn.net/cfile/tistory/998962345B5D31050E','1');"
